"straightness","sinuosity","bee_id"
0.292969623464007,26.5448229764708,"LF1"
0.293829843413398,26.2392301640912,"LF3"
0.63218770418228,32.8194025008829,"n10"
0.922215925490288,12.0973251774404,"n11_1"
0.487049691806066,32.878101795692,"n11"
0.937071007926997,17.5293959593549,"n12"
0.953513816437255,18.014305762807,"n14"
0.955052079992645,16.610326021811,"n18_1"
0.987024963575702,10.6552923438031,"n18"
0.806832902833863,27.9713416096949,"n19"
0.863632039617173,23.8421293021914,"n20"
0.286164482580717,26.9971973642241,"n21"
0.667468324412349,32.3355673104951,"n22"
0.301367495911276,26.148792497522,"n23"
0.320994109345709,24.8032057048895,"n24"
0.492449510940591,30.7511588610754,"n25"
0.592182545793695,29.0880491948809,"n26"
0.419776837671986,33.4075102364202,"n27_1"
0.485273279918856,28.3334688145043,"n27_2"
0.457248956717667,26.6720873201773,"n27"
0.391105364182344,32.3269512844976,"n28"
0.317147570289486,26.3919935625476,"n29"
0.756555407926834,14.338178118318,"n30"
0.151635473537101,14.7981731648692,"n31_1"
0.223213739993788,17.5496336923005,"n31"
0.311965044915668,23.9562454221112,"n32"
0.247914988670485,22.4544624864476,"n33_1"
0.652198435494006,32.4795723832418,"n33"
0.690169862075641,14.6012740593465,"n34"
0.452918558680446,20.7440152840144,"n35"
0.708067866096477,32.1088939540854,"n36"
0.299423413545781,19.8175087910091,"n37"
0.230621039655982,18.561712811444,"n38"
0.301141720998176,25.6574726470261,"n39"
0.209346934852277,17.7479883900323,"n40"
0.288227696777777,20.4401042158882,"n41"
0.481603462746166,23.8745449468136,"n42"
0.400815000482744,21.3112277821008,"n43"
0.549349867556505,20.7099425228145,"n44"
0.540280696800515,25.9185887211961,"n45"
0.211824122009724,17.7471930571105,"n46"
0.539550063751335,27.0010523935416,"n47"
0.349205943231171,19.0748499167244,"n48"
0.250609513030099,22.9075458402105,"n49_1"
0.650774985245777,19.459537443639,"n49"
0.305873588429094,27.8749226817895,"n5_1"
0.426105992599591,31.0238089532199,"n5"
0.930396767591262,21.2729467830218,"n50"
0.422081505317899,30.8139441039757,"n6"
0.269137709356454,25.3826230811238,"n7"
0.716241262361032,30.9477432284478,"n8_1"
0.345730674309099,30.7224956109908,"n8_2"
0.379397746914906,30.1068650088294,"n8"
0.909005369016808,26.6171920069131,"n9"
0.501793634039173,27.6276628605713,"RF2"
0.379930304913399,27.2744679914478,"RF5_1"
0.279680716972211,22.2828329595539,"RF5_2"
0.262821644902654,26.1233828523286,"RF5"
0.295003059809373,26.4066849339503,"RF8"
