bee_id,mean_rad,std_rad,angle_to_dancer_rad,final_vector_rad,num_frames_following
LF1,-1.1837169588486236,0.14447573711452988,1.9066107526387226,-0.9938209329849359,328
LF3,-1.3934967332743744,0.16815425954910654,0.8390205408898872,-1.2479900469875376,321
RF2,1.0137773992387444,0.6364547112619652,-2.6480757715174366,0.5622178787706799,108
RF5,1.1922012306496539,0.2043580803293208,-1.724443825272797,1.254178113304269,280
RF5_1,-1.0509187524722012,0.1628847577815757,2.1006541554774003,-0.8543922606059726,294
RF5_2,0.8827256115889153,0.14945359691012297,-2.3521320381198256,0.6171162743947087,270
RF8,0.8882289241241201,0.48698357956446725,-2.473138270662412,0.497198796786532,267
n10,-0.3874228355203315,0.18854015058135604,2.1342562479972607,-0.511746897381189,117
n11,-1.2567820647876686,0.09233061688414278,1.5613002053338807,-1.172388032631906,166
n11_1,0.23434294883522044,0.16796713086883464,-1.1182005551223932,0.13930691714554994,28
n12,-1.0465868433679417,0.4121970204566115,2.9672252861740605,-0.7914895207356032,39
n14,-0.6873357111057383,0.12435198720828353,1.0265097569476236,-0.7656367887116828,32
n18,-1.5597078582001698,0.30970103387477427,0.8292662106582016,-1.221289235019278,24
n18_1,1.754799188905479,0.39168490098301645,-0.8328369421355624,1.4775844303583807,28
n19,1.2012785199124316,0.40779316772776764,-0.7613474115394232,1.1535393874858761,59
n20,1.4734928841327006,0.21850141180567648,-0.8426995301102234,1.4599559433715694,40
n21,0.01816773021083895,0.055881984492023404,-3.011057003686067,0.03585644298354951,282
n22,1.1577762098397963,0.1428444473922907,-1.4654324446488263,1.1613619476769816,94
n23,-1.692438690476708,0.16545113770689945,1.5464773060352952,-1.4299992440672806,306
n24,-1.0423019866596026,0.6333846756862496,2.4032079106860884,-0.6795636798019979,262
n25,0.14144983258233346,0.09479634639654617,2.8224605122885373,-0.04973998108705879,232
n26,0.5716556457773807,0.29791586299054407,-2.931462111447513,0.24296594497116775,148
n27,1.3871721118578435,0.22788375646284084,-2.2545705949038988,0.9685133243043434,166
n27_1,-0.7978508506759918,0.12214814492565541,2.036999447586994,-0.5636035544472959,296
n27_2,-0.9550633341553065,0.19682364908382483,1.93948139530265,-0.695388732167664,175
n28,-0.1263103001383814,0.08942960221263395,2.687753590844239,-0.000213243221581505,349
n29,0.07791889179804823,0.09958836549575974,-2.7762569230088263,0.051448982791002684,294
n30,-1.7162294284102442,0.09400762811573118,0.5428924276221401,-1.8078902984804939,45
n31,-1.6974452903702673,0.4188643610012348,0.7287294768325756,-1.2651291429291809,289
n31_1,-1.798580261373741,0.48455871323263533,0.9421133938545001,-1.151950112146022,447
n32,-0.8709194136451144,0.4001190547773324,2.1046835117351064,-0.5159684584757702,223
n33,0.1755702904297598,0.16760592103842414,-2.873870207551401,-0.037658074788042395,83
n33_1,-0.9094916129681194,0.27109422230519403,2.250244248474199,-0.6075471728384603,283
n34,0.802738388230924,0.31203777690057416,-2.5201563419950364,0.502920846116145,51
n35,0.9430261618820008,0.052704879936072146,-1.8199063003316907,0.9695247375604557,115
n36,-0.5562311981294936,0.400927351143388,1.9752550096874089,-0.4363973665147505,80
n37,-0.49307511029932005,0.22880218725152743,3.1133306622567547,-0.18957938995742962,164
n38,1.4132273060170917,0.18095826711646862,-1.951264001336747,1.2110619401236118,222
n39,0.8858990064200043,0.11617767703090508,-1.724074505461276,0.673279816960187,250
n40,-0.7089183572442086,0.2280597530750828,0.7197038743653583,-1.0235173563830875,327
n41,-0.9580665956771952,0.15682127884287703,1.0580763150734809,-0.6765736064285486,296
n42,-0.78370061976312,0.10427041855276419,1.7337841229161173,-0.8420349040639028,138
n43,-0.6415496376300207,0.11148108404604837,2.685087539228692,-0.7215291172933029,148
n44,0.4083233089266387,0.1689967769831969,3.038908601186556,0.2453109327827021,94
n45,1.4783813896491758,0.09328928474160073,-2.242554158248029,1.553437075979014,111
n46,1.1698978995952292,0.1465786100815737,-1.611065375302325,1.2057443482183352,284
n47,1.9328525933987741,0.12768385831924928,-0.6473467747877688,1.7466197578850364,93
n48,1.0224616659396482,0.19898294101554148,-2.214166366873606,0.6361597168348632,173
n49,0.26331007568446596,0.13899100346722534,-1.3320552031769777,0.38071306495189217,76
n49_1,1.5022342652020964,0.6388432156423646,-1.559664054044213,0.7613135748559432,345
n5,0.1635368256914287,0.0888356436952386,-2.816577995467429,0.07145815738773154,182
n50,-0.9236476788800623,0.13829816742253462,0.030499628099416753,-1.1053889206720102,45
n5_1,0.41521993946151925,0.21683781429329665,-2.2795930139549903,0.4414533719956318,232
n6,1.3339648917908509,0.11085165635725895,-1.3698620507609767,1.194877460008855,186
n7,-1.3643552443624551,0.41360408290529777,1.7868059524327897,-0.7611663179859147,399
n8,0.3971737282536174,0.051580699336155694,-3.0739844057376886,0.4318091698336064,349
n8_1,-0.5690518771921971,0.19711854325935135,2.7662607519690923,-0.4585341079091433,98
n8_2,1.0497119921693523,0.6048170836722184,-1.8832918683104478,0.7272534654294951,306
n9,-0.31321752915365586,0.2128109794246528,2.6523288011089416,-0.027005022639354892,65
