bin_idx_of_angle_to_dancer_deg,midpt_mean_rad,midpt_std_rad,midpt_mean_deg,midpt_std_deg,s_s_mean_rad,s_s_std_rad,s_s_mean_deg,s_s_std_deg,l_antenna_mean_rad,l_antenna_std_rad,l_antenna_mean_deg,l_antenna_std_deg,r_antenna_mean_rad,r_antenna_std_rad,r_antenna_mean_deg,r_antenna_std_deg,l_antenna_min_rad,l_antenna_max_rad,l_antenna_min_deg,l_antenna_max_deg,r_antenna_min_rad,r_antenna_max_rad,r_antenna_min_deg,r_antenna_max_deg,l_antenna_median_rad,r_antenna_median_rad,l_antenna_median_deg,r_antenna_median_deg,bin_angle_to_dancer_deg,bin_angle_to_dancer_rad,remapped_bin_angle_to_dancer_deg,remapped_bin_angle_to_dancer_rad
10,-0.06849964314166224,0.1509377563552086,-3.924740450169501,8.64809640832737,1.5213884704824343,0.30459301944754713,87.16913835850711,17.451894483490655,0.6925201820119846,0.23049335961949852,39.67848365691831,13.20629671198838,-0.8291821082922164,0.19679582190911382,-47.50863525290358,11.275570021200402,0.1598225502255994,1.2828870144794569,9.157157598944469,73.5040115218114,-0.413851494395831,-1.420792423702831,-23.711943974063157,-81.40540944233526,0.7018846171187532,-0.7951849207573798,40.215026266060285,-45.56073989184267,-97.48709194447343,-1.7014707326255025,262.51290805552657,4.581714574554084
11,-0.09115403821281065,0.1421156775867596,-5.22274167516828,8.142628528363273,1.4848637787261527,0.2503215097361692,85.0764276728559,14.34236602922544,0.6516150990875786,0.20361922556484055,37.3347950447172,11.66652225258768,-0.8340154414212702,0.1738838494400157,-47.78556484217912,9.962810698401142,0.08506796161037045,1.2916897025795187,4.8740351720551365,74.00836839831499,-0.06738772265332776,-1.2488734045355976,-3.8610320990338103,-71.55517522602406,0.6677708960908612,-0.8373234321919503,38.26045402767539,-47.97509875200732,-89.98764212838617,-1.5705806412466965,270.01235787161386,4.71260466593289
12,-0.12548560265138553,0.13369883347708572,-7.189795421580044,7.660378884059413,1.4483591799740303,0.2684756605694121,82.98486823154076,15.382522252614164,0.5988213807970904,0.19335624249601177,34.309937801869594,11.078496637529568,-0.8501849463126439,0.18532870106454857,-48.712009229270976,10.61855239364032,0.10618943315123258,1.106670248931081,6.084206348452216,63.40753457644314,-0.3635021685175377,-1.4888406245873127,-20.827140099908135,-85.30428415647444,0.6081948563423623,-0.8740171286089776,34.846998389982765,-50.0774926914373,-82.4881923122989,-1.4396905498678905,277.5118076877011,4.843494757311696
13,-0.16757763674432313,0.14922712080527806,-9.60149132622614,8.550084211031312,1.4353302586594152,0.2914271795464513,82.23836602860527,16.697547423412928,0.5501026340446162,0.20916974647952913,31.518559229786145,11.984543675098429,-0.8860130774329416,0.2080020602150317,-50.764809930305354,11.917640180347329,0.0952768590116873,1.0686455555304804,5.458961906632666,61.22888012730977,-0.2766683390818976,-1.4226363060630633,-15.851928154287101,-81.51105611949518,0.5339920820923709,-0.9192895614513963,30.59549259729624,-52.67141202159734,-74.98874249621163,-1.3088004584890844,285.0112575037884,4.9743848486905025
14,-0.1294483622776812,0.20441848117887582,-7.416844823391624,11.712316226024038,1.3526953497548355,0.27992158349062707,77.50373450792483,16.038325328631835,0.5485485269282031,0.23764993058254588,31.429515451104425,13.61633802395687,-0.8078727122282676,0.25757894381251245,-46.287696794466626,14.758186371894334,-0.022384320339286386,1.4248625821290195,-1.2825270827099569,81.63861234210546,0.18191887041890395,-1.2602914737821493,10.423183488790515,-72.2093824040396,0.4953181896641773,-0.8433313572487322,28.379641783817792,-48.31932750139182,-67.48929268012436,-1.1779103671102784,292.5107073198756,5.105274940069307
15,-0.13766998507208594,0.21545585177990978,-7.887909110259571,12.344710978385056,1.3888408020333562,0.2454386561893052,79.5747163720756,14.062599129009648,0.5582910785843356,0.21046458803127474,31.987722542689006,12.058732631151623,-0.8339394838235661,0.2807425990848371,-47.78121279240872,16.085366057094493,0.14359325698984549,1.1682362180096908,8.227287592055553,66.93500476628041,-0.1034569637520014,-1.5502221524544968,-5.9276473842276225,-88.82118664332874,0.5555332127341661,-0.8770278472720932,31.829708469011038,-50.24999416413509,-59.9898428640371,-1.0470202757314724,300.0101571359629,5.236165031448114
16,-0.19496738281378967,0.2725966369575217,-11.170808177941609,15.61863680712591,1.4004091615901206,0.20419556145382275,80.23753455056803,11.69954386660828,0.5062792888457235,0.2707563123852958,29.00766650574469,15.513193976203148,-0.8975683349731716,0.30921092740093165,-51.42687741854726,17.716481119399486,-0.01596583634517017,1.0630914494968584,-0.9147750389748263,60.91065329261509,-0.07760941201198171,-1.7101802498381864,-4.446691758778467,-97.98611052235677,0.5730304074583334,-0.8975108444662638,32.8322238800244,-51.42358345513937,-52.49039304794984,-0.9161301843526665,307.50960695205015,5.36705512282692
17,-0.34016364993031223,0.19778365531098824,-19.48994148477249,11.332168705989856,1.4593537716503846,0.24697190965606847,83.61481193206552,14.150448081578986,0.38935139013001363,0.21106088159373076,22.30819140200136,12.092897735631173,-1.068333006800251,0.25325850986708426,-61.21097240417546,14.510643741156244,-0.06856652217211295,0.7689427272459617,-3.928572336352254,44.05717295847282,-0.665714638695795,-1.6347334502948585,-38.14263915734553,-93.66332733075453,0.3532719027181128,-1.0656368987774856,20.24098904630406,-61.05649679335964,-44.99094323186256,-0.7852400929738602,315.00905676813744,5.497945214205727
18,-0.2014700978531727,0.18816927426120847,-11.543386305074504,10.781305249206918,1.519642903965499,0.35065795411109085,87.06912476422737,20.0912208232576,0.5599812803397848,0.3011226381746852,32.08456396980185,17.25305628325443,-0.963664775970297,0.20454921000452375,-55.21392452851801,11.719806435994366,-0.08865168544111372,1.2802433982304755,-5.079367422497182,73.35254346809258,-0.567081237222068,-1.3887180035160183,-32.491361533881545,-79.56768053530166,0.6223247934676579,-0.9200567933005754,35.65658415204742,-52.71537116846333,-37.491493415775295,-0.6543500015950543,322.50850658422473,5.628835305584532
19,-0.34991999741887536,0.20480808862635438,-20.04893901933022,11.734639088431424,1.4908749047675425,0.3031176529991874,85.42083982514872,17.367362212764437,0.39292772119287855,0.3328610652583407,22.513100078045053,19.071534203531595,-1.0944335855432277,0.1370370528611471,-62.70642540899689,7.851644765854891,-0.18364146701053125,1.1345050756015735,-10.521881003294379,65.00235266814055,-0.8759457955552061,-1.3774165136966616,-50.18799716754258,-78.92015286644246,0.4276369513141516,-1.1189811344179235,24.50179247414235,-64.11289635690808,-29.99204359968803,-0.5234599102162483,330.00795640031197,5.759725396963338
20,-0.2587172923680967,0.24341591225213047,-14.823408939744125,13.946704438373862,1.0745940192345387,0.4559015189600193,61.56970199213907,26.121232910012587,0.27840842706176794,0.18822443467950253,15.951627851515118,10.784465708371343,-0.800374800987993,0.4324436003405784,-45.85809812523519,24.777193176957272,-0.06900126581692399,0.4947657039217968,-3.9534813123700614,28.347986682538238,-0.16777779364919762,-1.2788497478613707,-9.61295947211585,-73.27269318382602,0.35648492210635785,-0.9362742693383692,20.425081496744205,-53.64456409978346,-22.492593783600768,-0.39256981883744235,337.5074062163992,5.890615488342143
21,0.023402999786607648,0.47697724196894736,1.3408931157181845,27.328782888610924,1.2188665077991043,0.46383182615985263,69.83590668673811,26.575606042805244,0.6403767772888198,0.6051559171146619,36.69088663683844,34.67287999803879,-0.5884063742401184,0.44833834520407284,-33.71320188255403,25.687894974072748,-0.2377866159887573,1.427055947768884,-13.624169520853814,81.7642829361987,-0.09997573706237342,-1.0355225787047355,-5.72818778738364,-59.33107335028496,0.6713622754642832,-0.6085228250833146,38.46622490840281,-34.865789614651554,-14.993143967513504,-0.2616797274586364,345.0068560324865,6.02150557972095
22,-0.0638219337259498,0.7122247771931878,-3.6567274428605723,40.80747379781507,1.4500345177506357,0.1761030879734866,83.08085801539909,10.089963700101826,0.6604877417304755,0.7948518418339247,37.84316002128299,45.54165587528393,-0.787872655304743,0.6359548804650275,-45.141777942727266,36.43753061139284,-0.17016655644591366,1.57152639900872,-9.749825498625547,90.04183005659186,-0.13809125198933633,-1.5343633077679921,-7.912045926666505,-87.91254177483854,0.688352011802294,-0.7676415747545188,39.43966509561088,-43.98262241221021,-7.49369415142624,-0.1307896360798304,352.5063058485738,6.1523956710997565
23,0.22335869027935784,0.43413234749940544,12.79751027057693,24.87395126182277,1.632043731637503,0.23585449863677774,93.50921780361047,13.513467351061392,1.0375760447491622,0.38934257427124147,59.448728288004034,22.30768629050093,-0.5863026950951311,0.5042332957794698,-33.592669946096564,28.890439738135328,0.26244699912049685,1.4610268794704049,15.037105395478097,83.71067394882301,-0.13183515822779374,-1.3591291761091053,-7.553598157891991,-77.87236560414453,1.2300611750112591,-0.2819177384433075,70.47731387104807,-16.152696582674558,0.005755664661023729,0.00010045529897554742,0.005755664661023729,0.00010045529897554742
24,0.462579441001405,0.15442388164725757,26.503849658901373,8.84783667441559,1.7444963648084784,0.17589585780281475,99.9522790794402,10.078090285934554,1.3342848036719195,0.1652202444950283,76.44888791884263,9.466422699684696,-0.4097525335520458,0.18935933436483088,-23.477090817324882,10.849490670511383,1.1058876844146022,1.730613048482604,63.36269693245221,99.15682364832253,-0.1395915831845306,-0.7523215536444249,-7.998008572022956,-43.1048498605505,1.2826058197807557,-0.38201415292459656,73.48790025235438,-21.887798676844596,7.5052054807482875,0.1309905466777815,7.505205480748259,0.130990546677781
25,0.40073007460800314,0.185212421945568,22.960141999001177,10.611890090877234,1.6290206285677975,0.32791771099866707,93.3360067566833,18.78830086781428,1.2147708914428508,0.23296355900203625,69.60124515502004,13.347828711163613,-0.41406592908156714,0.2606772645179524,-23.724230176537052,14.93570707189404,0.9014494890409676,1.6195701769603867,51.649251166271995,92.79453576508604,0.08666119841972794,-0.7393413712319881,4.965320916996211,-42.361140191007934,1.1267354798061053,-0.4073157215096645,64.55718762053763,-23.33747177182978,15.004655296835551,0.26188063805658746,15.004655296835551,0.26188063805658746
26,0.31371876036125634,0.16178063987651722,17.974760922776053,9.269347871850306,1.6308026220285257,0.3650470998368391,93.43810746110293,20.91565814414168,1.1304829065574484,0.21334150294194248,64.77189935742402,12.223567713551141,-0.5054971224967999,0.27056214160720254,-28.962851675074212,15.502068810113634,0.7181862874499153,1.6132284571316255,41.149043175049506,92.43118198404359,0.11958021797084076,-0.9848387101716813,6.851441802983617,-56.42710159394504,1.1148248992061005,-0.5013438091755251,63.87476162060696,-28.724884350769706,22.504105112922844,0.39277072943539393,22.504105112922844,0.39277072943539393
