bee_id,mean_rad,std_rad,angle_to_dancer_rad,final_vector_rad,num_frames_following
LF1,-1.5086181847972628,0.1961749703050802,1.9066107526387226,-1.2345600067240428,328
LF3,-2.5872058043391677,0.11789960921658882,0.8390205408898872,-2.3074026896735624,321
RF2,0.6565771509005347,0.0775721180459324,-2.6480757715174366,0.49443389866440535,108
RF5,1.7549789762107526,0.2549439663453033,-1.724443825272797,1.4158405483365741,280
RF5_1,-1.4681041484194919,0.2735012430368416,2.1006541554774003,-1.0364753808615372,294
RF5_2,1.180834752597832,0.30200901501303107,-2.3521320381198256,0.766774302567559,270
RF8,1.0581768984967548,0.22819209258021345,-2.473138270662412,0.6636837130628515,267
n10,-1.1579317075294704,0.10671542298816472,2.1342562479972607,-1.0078108071970016,117
n11,-1.699012259313015,0.0696582700319049,1.5613002053338807,-1.580572962003898,166
n11_1,2.190307356219636,0.11063845108392396,-1.1182005551223932,2.0230588523529063,28
n12,-0.17367292671844226,0.022380727088916277,2.9672252861740605,-0.17420949928255913,39
n14,-2.1447496110881232,0.034774938235540995,1.0265097569476236,-2.114686060664244,32
n18,-2.3898834394325394,0.0414631552496918,0.8292662106582016,-2.312476405410637,24
n18_1,2.381195777791496,0.06215368722048219,-0.8328369421355624,2.3088080227996475,28
n19,2.449292347002711,0.03526334804895898,-0.7613474115394232,2.3802060915720507,59
n20,2.430669674573404,0.10172521774646945,-0.8426995301102234,2.2979665584418845,40
n21,0.3625794300828886,0.17806684282587004,-3.011057003686067,0.129306010998528,282
n22,2.160852253100014,0.4249711409157295,-1.4654324446488263,1.662120943864622,94
n23,-1.7379535848572345,0.06985389804343961,1.5464773060352952,-1.590446664568308,306
n24,-0.857500623047482,0.09789620934883331,2.4032079106860884,-0.7324188679188706,262
n25,-0.2725118079268394,0.043601733447024144,2.8224605122885373,-0.31927725031425336,232
n26,0.42010704506822405,0.1853306538473519,-2.931462111447513,0.20838809020633986,148
n27,1.1777654525903278,0.17951538241484055,-2.2545705949038988,0.8800869361479551,166
n27_1,-1.5788853611290443,0.4103009172225014,2.036999447586994,-1.1003998135989908,296
n27_2,-1.4535546223678992,0.16190673281141155,1.93948139530265,-1.1993735475431497,175
n28,-0.6690710420541377,0.16685956673420801,2.687753590844239,-0.4526819272384217,349
n29,0.46001968699173457,0.094184640970495,-2.7762569230088263,0.36414458642307557,294
n30,-2.637093154896003,0.03858267640307536,0.5428924276221401,-2.598897661235057,45
n31,-2.4454973228730337,0.024772488813551083,0.7287294768325756,-2.412177408053005,289
n31_1,-2.213148670860477,0.023535153623955588,0.9421133938545001,-2.199901770195638,447
n32,-1.1889460341922624,0.10316810518098304,2.1046835117351064,-1.0371782025083194,223
n33,0.3696389836464955,0.04344216067343117,-2.873870207551401,0.26533439230653943,83
n33_1,-1.2951286969784177,0.27183217177634583,2.250244248474199,-0.889943003629194,283
n34,0.7810190739091731,0.1489765676130206,-2.5201563419950364,0.6186892709281602,51
n35,1.5337392777383387,0.12802671362712711,-1.8199063003316907,1.3102980849997214,115
n36,-1.3503736569627007,0.6247347917297162,1.9752550096874089,-1.171826884308435,80
n37,0.0011096648566146783,0.1865702878847641,3.1133306622567547,-0.026394239715854306,164
n38,1.3597703786882986,0.08129987844482683,-1.951264001336747,1.1836319806993627,222
n39,1.5746043182414864,0.06508541596195319,-1.724074505461276,1.4101956995435252,250
n40,-2.5475215799134783,0.10233661841341618,0.7197038743653583,-2.419313620556979,327
n41,-2.2531126736521223,0.07599258521799003,1.0580763150734809,-2.07936908636581,296
n42,-1.436872795361667,0.01993540831762008,1.7337841229161173,-1.4078421589489298,138
n43,-0.3781043565058053,0.0696290072323514,2.685087539228692,-0.4584071500570355,148
n44,-0.04502892971431649,0.06913021256516136,3.038908601186556,-0.1006339230021489,94
n45,0.9354474034685802,0.019493185952275213,-2.242554158248029,0.8990884425864847,111
n46,1.6242710087548708,0.05196689007078872,-1.611065375302325,1.525826803166007,284
n47,2.569815264422118,0.052625468367568824,-0.6473467747877688,2.495665780340876,93
n48,1.078308216116758,0.0844138266378884,-2.214166366873606,0.9186133287448142,173
n49,2.0439582908097034,0.14460888551601941,-1.3320552031769777,1.8044802595682174,76
n49_1,1.8614735410706613,0.12982860548584824,-1.559664054044213,1.5846001928120197,345
n5,0.39166914785581364,0.02154676687272441,-2.816577995467429,0.32570649279953234,182
n50,3.090668855468781,0.046948687084921954,0.030499628099416753,-3.1113308748481097,45
n5_1,1.5522888421273393,0.6550808552037066,-2.2795930139549903,0.8500697763921272,232
n6,1.9872557456703648,0.09647443556265856,-1.3698620507609767,1.7741056959918033,186
n7,-1.7361519150818439,0.1808703160718602,1.7868059524327897,-1.3516548430512816,399
n8,-0.0007179061582784918,0.08358112903164325,-3.0739844057376886,0.06765364686613906,349
n8_1,-0.4492190114461203,0.03603561747606208,2.7662607519690923,-0.3750984050975781,98
n8_2,1.706411718955958,0.25262403494703356,-1.8832918683104478,1.2610683288531068,306
n9,-0.495434837657462,0.005655620352142766,2.6523288011089416,-0.48926037165345826,65
