bin_idx_of_angle_to_dancer_deg,midpt_mean_rad,midpt_std_rad,midpt_mean_deg,midpt_std_deg,s_s_mean_rad,s_s_std_rad,s_s_mean_deg,s_s_std_deg,l_antenna_mean_rad,l_antenna_std_rad,l_antenna_mean_deg,l_antenna_std_deg,r_antenna_mean_rad,r_antenna_std_rad,r_antenna_mean_deg,r_antenna_std_deg,l_antenna_min_rad,l_antenna_max_rad,l_antenna_min_deg,l_antenna_max_deg,r_antenna_min_rad,r_antenna_max_rad,r_antenna_min_deg,r_antenna_max_deg,l_antenna_median_rad,r_antenna_median_rad,l_antenna_median_deg,r_antenna_median_deg,bin_angle_to_dancer_deg,bin_angle_to_dancer_rad,remapped_bin_angle_to_dancer_deg,remapped_bin_angle_to_dancer_rad
0,0.008384037662656052,0.10504924049969616,0.48036997334891923,6.018878121687349,1.3213744362656934,0.3106038425211337,75.70917835450263,17.79628927700702,0.6699200205793536,0.19218334177956453,38.383589790514215,11.011294376689271,-0.6524523432754492,0.18255574981908373,-37.38276560310404,10.45967399047964,0.15936972906178745,1.1056537474481727,9.131212857383842,63.34929333160371,-0.3035205299506225,-1.2346037621037085,-17.390445361744767,-70.73758493951603,0.691569067334892,-0.6367924587651872,39.62398880008795,-36.48552031300373,-176.98125999499845,-3.0889057012408463,183.01874000500155,3.1942796059387404
1,-0.013987929307547997,0.1120483913343888,-0.8014493134498524,6.419899924690705,1.3656527482824412,0.28992657962633706,78.24613875702566,16.611569381252714,0.6693633549939926,0.15521429095795422,38.35169520187285,8.893123792006353,-0.6969007007675607,0.20720586727754872,-39.92946889369072,11.87202168535143,0.28169684664282085,1.1093825189929996,16.140040414777626,63.562936203890764,-0.29080586053112123,-1.2130253229690662,-16.66194846610329,-69.50123144862108,0.6678686163285363,-0.6866164367397078,38.26605298486719,-39.340223969496535,-173.98148006856354,-3.0365496646893235,186.01851993143646,3.2466356424902627
2,-0.02218838118412103,0.12219206874732073,-1.2713005960776231,7.001089829193886,1.356221793366112,0.2844065979091486,77.70578484354185,16.295297725868437,0.6562926056621836,0.16730891430368972,37.602796430086755,9.586094664517391,-0.6999998013728201,0.20524869193894119,-40.107034278658524,11.75988379868213,0.1787237536848946,0.9877304567522751,10.240116784880156,56.59278646843445,-0.28334630855027354,-1.2001593651100277,-16.234547620542266,-68.76406636390502,0.6865312746150253,-0.6475904766209303,39.33534453917786,-37.10420116324472,-170.98170014212866,-2.9841936281378016,189.01829985787134,3.2989916790417846
3,0.0005448270773147357,0.10553143183215674,0.03121629209458215,6.0465056499551295,1.3440835189253484,0.30898050907230534,77.01031294751458,17.70327912164674,0.6730886547152726,0.17397656728614386,38.56513915332346,9.968123039669829,-0.6712282949562414,0.1988520496874486,-38.45854839075499,11.393383194616545,0.18653061018962355,1.0647566324240965,10.687416713865378,61.00606124646307,-0.31087003417290354,-1.273311261198676,-17.811540935195048,-72.95536127316412,0.6762209508745102,-0.633511307919236,38.744606503432806,-36.29752421758495,-167.98192021569375,-2.9318375915862793,192.01807978430625,3.3513477155933074
4,0.017725718034620197,0.12165682219328819,1.0156088322226657,6.9704224606489005,1.4819964145358657,0.3106435825415079,84.91213980642551,17.798566212452226,0.7586481329487587,0.18220419577135746,43.46733615344364,10.439531427274185,-0.7222483164441869,0.21098703048774445,-41.38178029268104,12.088666378945783,0.19035792811873625,1.1749484769837077,10.906705878058286,67.3195888764904,-0.3742327962875871,-1.1827076554169464,-21.441959782657843,-67.7641570532039,0.7771083124024855,-0.7332986969048795,44.5250265251963,-42.01492045509256,-164.98214028925884,-2.8794815550347566,195.01785971074116,3.4037037521448297
5,-0.018455926571904424,0.11881886846174242,-1.0574466995734733,6.807819689377925,1.3732969921750966,0.3445216143975028,78.68412166964347,19.73963445601049,0.6696013852517395,0.21343981780995,38.36533333103816,12.229200740551356,-0.7033398966339819,0.20395034265738463,-40.29840764029474,11.685493864515097,-0.47255440630952095,1.031750156876653,-27.07537307184583,59.1149295009928,-0.3126108979493056,-1.180047989555771,-17.911285082290092,-67.61176942444352,0.6814584315155859,-0.6543107263200809,39.04469203944792,-37.48924310828011,-161.98236036282393,-2.8271255184832342,198.01763963717607,3.456059788696352
6,-0.04418679918673796,0.14364048752844508,-2.5317171035921833,8.22999370258144,1.408000263011135,0.37701320395963694,80.67247262384791,21.601265407592095,0.6595650127970569,0.2514486750656449,37.790291547763495,14.40694784541787,-0.7436495179712752,0.22302217793563628,-42.60797881669213,12.778229533527629,-0.45438861433868466,1.07054958429346,-26.034549860404272,61.33797293950003,-0.37085271968665895,-1.319159847563755,-21.248295658993737,-75.58229176852419,0.6668465306814684,-0.7385351248585503,38.2074917909893,-42.314945676562225,-158.98258043638901,-2.7747694819317115,201.01741956361099,3.5084158252478748
7,-0.040391039791733974,0.10502168252292239,-2.3142361102113242,6.017299165926293,1.508023376700094,0.2713523482169637,86.40337489198247,15.54734431379629,0.7131957624314036,0.14351682751521544,40.863107153934344,8.22290850572885,-0.7940457785674577,0.1956113987123663,-45.495471852094845,11.207707570869374,0.4405665260513439,0.9883367334546019,25.242602537482437,56.62752356469488,-0.39531285273377637,-1.1658942181422773,-22.649758048922035,-66.80081805825742,0.7419168145540279,-0.8395945860456903,42.508702223735966,-48.1052262824515,-155.9828005099541,-2.722413445380189,204.0171994900459,3.560771861799397
8,-0.027295761831034326,0.12964210562278655,-1.563931951512551,7.427945499374909,1.540342360356461,0.2904261183588469,88.25511625364459,16.640190842328842,0.7421180202824851,0.1998208450955547,42.52023046279042,11.448891082712679,-0.7972135140084267,0.18934672745450684,-45.67696972347638,10.848768347757115,0.33084225923016236,1.1948931613600577,18.95586513846141,68.46233511497577,-0.2635728861037429,-1.1978644430815066,-15.101613967826813,-68.63257701735915,0.7431885127298677,-0.8219330819751332,42.58156516202608,-47.09329663935545,-152.9830205835192,-2.670057408828667,207.0169794164808,3.61312789835092
9,-0.05404842019826761,0.12001211813505651,-3.096746366710366,6.876187859564186,1.5222248125437297,0.32773336432016065,87.2170572288486,18.777738581168606,0.7055795389459134,0.1798272286068014,40.42672969238733,10.303341240703944,-0.8134629650538976,0.22380601750113382,-46.60799468778631,12.823140232446008,0.19701396786656986,1.1190517398793438,11.288068863880472,64.11694175185804,-0.42297865191898154,-1.3446308453521787,-24.23489157909076,-77.04167244178792,0.716243778222867,-0.8174917773842103,41.03774559467442,-46.838828630763494,-149.9832406570843,-2.617701372277145,210.0167593429157,3.6654839349024417
