mean_rad,std_rad,angle_to_dancer_rad
0.221654524220658,0.42156428854175587,-3.013843509629723
0.3641741953695412,0.39327443787736727,-2.7555719547111863
0.6862851891288222,0.484342710576918,-2.4913070741868437
1.0255763562372984,0.362275658679557,-2.2241405451921263
1.1370652576599731,0.31732057052962453,-1.9620912025209882
1.1897356533270083,0.3216208803958931,-1.6945201887011048
1.1948132889870875,0.3960529835396444,-1.4505091226772584
1.4576444904639843,0.7440974162857744,-1.1892178991652573
1.3405143239255448,0.8599542417098545,-0.933450834377648
1.6568286983310516,0.7149986896293682,-0.6708348381325275
1.889711463748123,0.5734497635250773,-0.42346337109942267
1.4814629264911248,0.7159297970419725,-0.11207729661829324
-1.717352467473933,0.17024937298938035,0.129658050999093
-1.5439807324367238,0.6192528651497059,0.4291265286381951
-1.3698288136057808,0.6360416866874693,0.6698557469757165
-1.2422687079870136,0.4797370795851178,0.9184867464076216
-1.3093540208828733,0.41762863920683085,1.1714490975411307
-1.3794580332840842,0.36708405562308244,1.4479900939678991
-1.1888644844335514,0.36448113013790273,1.7015056602752967
-0.9829173634437107,0.3999567238190607,1.9630515974260732
-0.8251108326967405,0.4061577901634723,2.220961615612495
-0.6079733237642442,0.4649115092526512,2.491157479786553
-0.26624083563611123,0.46506375733211114,2.7560192161311505
-0.03707129593528169,0.5074448401555945,3.0080866196222233
