bin_idx_of_angle_to_dancer_deg,midpt_mean_rad,midpt_std_rad,midpt_mean_deg,midpt_std_deg,s_s_mean_rad,s_s_std_rad,s_s_mean_deg,s_s_std_deg,l_antenna_mean_rad,l_antenna_std_rad,l_antenna_mean_deg,l_antenna_std_deg,r_antenna_mean_rad,r_antenna_std_rad,r_antenna_mean_deg,r_antenna_std_deg,l_antenna_min_rad,l_antenna_max_rad,l_antenna_min_deg,l_antenna_max_deg,r_antenna_min_rad,r_antenna_max_rad,r_antenna_min_deg,r_antenna_max_deg,l_antenna_median_rad,r_antenna_median_rad,l_antenna_median_deg,r_antenna_median_deg,bin_angle_to_dancer_deg,bin_angle_to_dancer_rad,remapped_bin_angle_to_dancer_deg,remapped_bin_angle_to_dancer_rad
0,-0.014161042221064069,0.1248221210526757,-0.8113679527735365,7.151780726189378,1.3756694877893834,0.3042700063201896,78.8200556552554,17.433387194565746,0.6741817006320048,0.19118695717798045,38.62776607116622,10.95420574424668,-0.7017562838859557,0.20190473675258214,-40.207673313449725,11.568289279622874,0.05585268454683314,1.1749879134480965,3.200123099009092,67.32184841945879,-0.28334630855027354,-1.304506441374139,-16.234547620542266,-74.74271343836831,0.691013654743291,-0.6948893883155319,39.59216600270079,-39.81422917890736,-172.4815901053461,-3.010371646413563,187.5184098946539,3.272813660766024
1,-0.009192969744272084,0.13332879154970598,-0.5267183675382501,7.639177043377667,1.4272047964254675,0.301898910639615,81.77281133600712,17.297533419247124,0.7045598730867493,0.19883290972934697,40.36830714214365,11.392286555797265,-0.7222605258993187,0.20360635696535367,-41.382479842930245,11.665784936148837,0.1787237536848946,1.2020216405555137,10.240116784880156,68.8707668872222,-0.3049185826987714,-1.438968645258515,-17.470547883750367,-82.44683022497065,0.7052112239311763,-0.7156789442490962,40.405626796511605,-41.005382991851754,-164.98214028925884,-2.8794815550347566,195.01785971074116,3.4037037521448297
2,-0.037825837734550394,0.1354952455079731,-2.167260858736429,7.763305711695785,1.4482062023594091,0.3463433400811372,82.97610325986298,19.844011649113327,0.6861483185010098,0.21477588425653807,39.31340277010604,12.305751709089893,-0.7600928486854719,0.22490292482859023,-43.55011226775344,12.885988392826233,-0.47255440630952095,1.274681180919933,-27.07537307184583,73.03385189146388,-0.1524889306101295,-1.5819134814173312,-8.736972146423689,-90.63696604005986,0.7094657080609892,-0.7609542678521216,40.64939078115527,-43.59946795039415,-157.48269047317157,-2.7485914636559508,202.51730952682843,3.5345938435236355
3,-0.050890589676027,0.13252583021616104,-2.9158160053683866,7.593170747853346,1.532593059089999,0.29596044701003255,87.81111399690093,16.957284516480108,0.7132678462266759,0.20830411709406335,40.86723725117473,11.934946764688735,-0.811354732301234,0.2193662252645864,-46.48720184882744,12.568758875376892,-1.484045109254927,1.1948931613600577,-85.02952136733846,68.46233511497577,0.35793906076442816,-1.3446308453521787,20.508397504678452,-77.04167244178792,0.721031168376372,-0.8311408805976542,41.31204284535275,-47.62086463903228,-149.9832406570843,-2.617701372277145,210.0167593429157,3.6654839349024417
4,-0.027284908544229936,0.1463486498637748,-1.5633101039848143,8.385159974632126,1.5415085650541762,0.3365903041419752,88.321934860872,19.28520385235993,0.7425942677211492,0.23020052506973626,42.54751743102979,13.189518528191389,-0.7977239318976719,0.2154156201704883,-45.706214514318106,12.342405876962186,0.11653125040600507,1.60531030304119,6.676748829646251,91.97750517312738,-0.2068952050731542,-1.4048788020910308,-11.854222052185394,-80.49362608721091,0.7362926543060277,-0.8202587231234327,42.18646157822031,-46.997362943762646,-142.48379084099702,-2.4868112808983383,217.51620915900298,3.796374026281248
5,-0.03458235058743053,0.1560532018243445,-1.9814227343015327,8.94118984403818,1.5358712991571242,0.339240114055556,87.99894331697789,19.437026776920035,0.7332077753408064,0.2316505289141749,42.00971103320444,13.272597628755467,-0.8021533922960202,0.22829011712021827,-45.9600039006638,13.080060215535767,-0.01953748691588394,1.5305857440950377,-1.119415542572217,87.69610331953632,-0.00886403376840269,-1.4840579881189124,-0.5078717243909168,-85.03025927188975,0.733049156785159,-0.8015847391495552,42.00062285941338,-45.92742247536452,-134.98434102490978,-2.355921189519533,225.01565897509022,3.927264117660054
6,-0.031401276543019385,0.1687749286084849,-1.7991606172381627,9.67009109688796,1.4913521052409653,0.3454651865271411,85.44818139825749,19.793697156704933,0.7142814120279062,0.2590586376836637,40.92531029384402,14.842966585682676,-0.7761889621589382,0.22263993351782652,-44.47235163634672,12.756328541644695,-0.13308839695519167,1.3085698838394277,-7.6254034476942385,74.9755315419236,-0.1594956266559089,-1.276078026945489,-9.138426258177853,-73.11388527335787,0.7122214251456829,-0.7967683782690571,40.80728173964031,-45.65146532430007,-127.48489120882249,-2.225031098140726,232.5151087911775,4.05815420903886
7,-0.052886495718548865,0.18627682657424757,-3.030172997909548,10.672875983794762,1.4705409747652212,0.3589870905985669,84.25579145510127,20.568445190978398,0.6829622015474537,0.2793343797739255,39.1308517156322,16.004681033950437,-0.7864915883613914,0.2356314672120601,-45.06264863564819,13.500688591726282,-0.22160298976287732,1.2038537259397697,-12.696916040893658,68.97573764744767,0.32026297110212876,-1.3377232710412166,18.349716578472226,-76.64589758709681,0.7118888978096403,-0.7910311623152304,40.78822932671234,-45.322747063990676,-119.98544139273523,-2.0941410067619204,240.01455860726477,4.189044300417666
8,-0.06185068180090836,0.16543851337743753,-3.543783027198659,9.47892858544578,1.5230208171318154,0.36981282958253503,87.26266493221897,21.188714344870014,0.6993688276404284,0.26837712842385963,40.07088214680886,15.37687677652764,-0.822444313661054,0.2261397187222869,-47.122588057312065,12.956851463062604,-0.17386448058949977,1.4524045980850753,-9.96170094501256,83.21665361566941,0.09223825175526118,-1.4714223553030163,5.284862535241623,-84.3062908400619,0.7324757810976832,-0.8368672995990911,41.96777085244561,-47.94896427953813,-112.48599157664796,-1.9632509153831144,247.51400842335204,4.319934391796472
9,-0.07653923977463828,0.16388895711132068,-4.385375406226616,9.390145551279234,1.5020390279844156,0.3557875941826502,86.06049696743956,20.38512754977914,0.6746751657766303,0.272540923415674,38.65603954129008,15.615444656316312,-0.8261043460451263,0.2068083691139827,-47.33229246580061,11.849246718214896,-0.25403937068711246,1.2566644977592603,-14.555383770530984,72.0015719855329,-0.24864165040709924,-1.3534562837931654,-14.246117179494053,-77.54733281680898,0.684864527242166,-0.8240206337962437,39.2398469491985,-47.21290454821993,-104.9865417605607,-1.8323608240043086,255.0134582394393,4.450824483175278
